Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Weightlifting,Weightlifting,"100 - 110kg, total (heavyweight)",M,"OBERBURGER, Norberto",Men,ITA,0,0,1
Rowing,Rowing,double sculls (2x),M,"DELOOF, Pierre Marie",Men,BEL,0,1,0
Aquatics,Swimming,4x100m freestyle relay,W,"TORRES, Dara",Women,USA,0,0,1
Sailing,Sailing,two-person keelboat open (Star),X,"PERABONI, Alfio",Men,ITA,1,0,0
Football,Football,football,M,"BRUM, Jorge Luiz",Men,BRA,0,1,0
Sailing,Sailing,flying dutchman,X,"ALLAM, Peter Frank",Men,GBR,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),M,"MOBERG, Lars-Erik",Men,SWE,0,1,0
Rowing,Rowing,pair without coxswain (2-),W,"BECKER, Ellen",Women,FRG,1,0,0
Sailing,Sailing,fleet/match race keelboat open (Soling),X,"DAVIS, Roderick Hopkins",Men,USA,0,0,1
Aquatics,Water polo,water polo,M,"CAMPBELL, Jodocus David",Men,USA,0,1,0
Weightlifting,Weightlifting,"100 - 110kg, total (heavyweight)",M,"CARLTON, Guy Albert",Men,USA,1,0,0
Athletics,Athletics,discus throw,W,"STALMAN, Ria G.",Women,NED,0,0,1
Handball,Handball,handball,W,"SUNG, Kyung-Hwa",Women,KOR,0,1,0
Aquatics,Water polo,water polo,M,"VULETIC, Bozo",Men,YUG,0,0,1
Rowing,Rowing,pair-oared shell with coxswain (2+),M,"TOMOIAGA, Vasile",Men,ROU,0,1,0
Gymnastics,Artistic G.,team competition,M,"CONNER, Barthold Wayne",Men,USA,0,0,1
Fencing,Fencing,foil team,M,"BEHR, Matthias",Men,FRG,0,1,0
Basketball,Basketball,basketball,W,"LI, Xiao-Qin",Women,CHN,1,0,0
Athletics,Athletics,4x100m relay,W,"GAREAU, France",Women,CAN,0,1,0
Boxing,Boxing,51 - 54kg (bantamweight),M,"STECCA, Maurizio",Men,ITA,0,0,1
Football,Football,football,M,"GALVAO, Mauro",Men,BRA,0,1,0
Aquatics,Swimming,4x200m freestyle relay,M,"FLOAT, Jeffrey James",Men,USA,0,0,1
Shooting,Shooting,10m air rifle (60 shots),M,"HEBERLE, Philippe",Men,FRA,0,0,1
Aquatics,Swimming,4x100m freestyle relay,M,"GAINES, Ambrose Iv",Men,USA,0,0,1
Gymnastics,Artistic G.,individual all-round,W,"PAUCA, Simona",Women,ROU,1,0,0
Athletics,Athletics,high jump,W,"HUNTLEY, Johanna Luann",Women,USA,1,0,0
Handball,Handball,handball,W,"YOON, Byung-Soon",Women,KOR,0,1,0
Hockey,Hockey,hockey,W,"WEIERMANN-LIETZ, Andrea",Women,FRG,0,1,0
Wrestling,Wrestling Free.,+ 100kg (super heavyweight),M,"TASKIN, Ayhan",Men,TUR,1,0,0
Athletics,Athletics,200m,M,"LEWIS, Carl",Men,USA,0,0,1
Fencing,Fencing,épée team,M,"BELLONE, Stefano",Men,ITA,1,0,0
Judo,Judo,65 - 71kg (lightweight),M,"AHN, Byung-Keun",Men,KOR,0,0,1
Canoe / Kayak,Canoe / Kayak F,C-2 1000m (canoe double),M,"PATZAICHIN, Ivan",Men,ROU,0,0,1
Rowing,Rowing,single sculls (1x),W,"GEER, Charlotte Mosher",Women,USA,0,1,0
Aquatics,Swimming,1500m freestyle,M,"PFEIFFER, Stefan",Men,FRG,1,0,0
Rowing,Rowing,pair-oared shell with coxswain (2+),M,"STILL, Kevin Raymond",Men,USA,1,0,0
Shooting,Shooting,50m rifle 3 positions (3x20 shots),W,"JEWELL, Wanda Rae",Women,USA,1,0,0
Basketball,Basketball,basketball,M,"LOPEZ, Juan Maria",Men,ESP,0,1,0
Athletics,Athletics,discus throw,W,"DENIZ, Leslie Jean",Women,USA,0,1,0
Handball,Handball,handball,M,"ROTH, Ulrich",Men,FRG,0,1,0
Athletics,Athletics,1500m,W,"BESLIU-MELINTE, Doina",Women,ROU,0,1,0
Fencing,Fencing,foil individual,W,"HANISCH, Cornelia",Women,FRG,0,1,0
Volleyball,Volleyball,volleyball,W,"ODAKA, Emiko",Women,JPN,1,0,0
Equestrian,Eventing,team,X,"PRIOR-PALMER-GREEN, Lucinda",Women,GBR,0,1,0
Shooting,Shooting,50m running target (30+30 shots),M,"LI, Yu-Wei",Men,CHN,0,0,1
Shooting,Shooting,25m pistol (30+30 shots),W,"DENCH, Patricia",Women,AUS,1,0,0
Gymnastics,Artistic G.,team competition,W,"SZABO, Ecaterina",Women,ROU,0,0,1
Football,Football,football,M,"SANTOS, Paulo",Men,BRA,0,1,0
Aquatics,Water polo,water polo,M,"CAMPBELL, George Peter",Men,USA,0,1,0
Handball,Handball,handball,M,"STRBAC, Branko",Men,YUG,0,0,1
Volleyball,Volleyball,volleyball,M,"BUCK, Craig Werner",Men,USA,0,0,1
Rowing,Rowing,eight with coxswain (8+),W,"BEARD, Elizabeth Ann",Women,USA,0,0,1
Hockey,Hockey,hockey,W,"VON WEILER, Sophie Pauline",Women,NED,0,0,1
Rowing,Rowing,double sculls (2x),W,"LAUMANN, Daniele",Women,CAN,1,0,0
Cycling,Cycling Road,individual road race,W,"SCHUMACHER, Sandra",Women,FRG,1,0,0
Weightlifting,Weightlifting,"- 56kg, total (bantamweight)",M,"WU, Shu-De",Men,CHN,0,0,1
Aquatics,Water polo,water polo,M,"WILSON, Craig Martin",Men,USA,0,1,0
Weightlifting,Weightlifting,"- 52kg, total (flyweight)",M,"ZHOU, Pei-Shun",Men,CHN,0,1,0
Shooting,Shooting,50m pistol (60 shots),M,"XU, Haifeng",Men,CHN,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,"ANDERSSON, Agneta",Women,SWE,0,0,1
Basketball,Basketball,basketball,W,"ZHENG, Haixia",Women,CHN,1,0,0
Athletics,Athletics,4x400m relay,W,"LEATHERWOOD-KING, Lillie Mae",Women,USA,0,0,1
Aquatics,Water polo,water polo,M,"RÖHLE, Peter",Men,FRG,1,0,0
Rowing,Rowing,eight with coxswain (8+),W,"NEELISSEN, Catalien",Women,NED,1,0,0
Rowing,Rowing,quadruple sculls without coxswain (4x),M,"DURSCH, Michael",Men,FRG,0,0,1
Sailing,Sailing,Tornado - Multihull,X,"SMYTH, Randy",Men,USA,0,1,0
Gymnastics,Artistic G.,team competition,W,"ZHOU, Ping",Women,CHN,1,0,0
Judo,Judo,86 - 95kg (half-heavyweight),M,"FRIDRIKSSON, Bjarni",Men,ISL,1,0,0
Hockey,Hockey,hockey,M,"PETER, Michael",Men,FRG,0,1,0
Aquatics,Swimming,400m individual medley,W,"ZINDLER, Petra",Women,FRG,1,0,0
Aquatics,Swimming,200m backstroke,M,"CAREY, Richard John",Men,USA,0,0,1
Athletics,Athletics,1500m,W,"DORIO, Gabriella",Women,ITA,0,0,1
Aquatics,Swimming,400m freestyle,W,"CROFT, June",Women,GBR,1,0,0
Gymnastics,Artistic G.,vault,M,"GAYLORD, Mitchell Jay",Men,USA,0,1,0
Football,Football,football,M,"LEMOULT, Jean-Claude",Men,FRA,0,0,1
Football,Football,football,M,"DIAS, Luiz",Men,BRA,0,1,0
Gymnastics,Artistic G.,team competition,M,"SOTOMURA, Koji",Men,JPN,1,0,0
Handball,Handball,handball,M,"FRAATZ, Jochen",Men,FRG,0,1,0
Rowing,Rowing,pair without coxswain (2-),W,"CRAIG, Elizabeth",Women,CAN,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-4 500m (kayak four),W,"ANDERSSON, Agneta",Women,SWE,0,1,0
Rowing,Rowing,quadruple sculls with coxswain (4x),W,"OANCIA, Ecaterina",Women,ROU,0,0,1
Athletics,Athletics,1500m,W,"PUICA, Maricica",Women,ROU,1,0,0
Hockey,Hockey,hockey,M,"QASIM, Zia",Men,PAK,0,0,1
Rowing,Rowing,four-oared shell with coxswain (4-),M,"IVES, Edward Ashley",Men,USA,0,1,0
Rowing,Rowing,eight with coxswain (8+),M,"DARLING, Thomas Ward",Men,USA,0,1,0
Aquatics,Water polo,water polo,M,"SCHRODER, Jurgen",Men,FRG,1,0,0
Handball,Handball,handball,W,"LEE, Soon-Ei",Women,KOR,0,1,0
Aquatics,Swimming,100m freestyle,W,"VERSTAPPEN, Annemarie",Women,NED,1,0,0
Shooting,Shooting,50m rifle 3 positions (3x40 shots),M,"NIPKOV, Daniel",Men,SUI,0,1,0
Aquatics,Swimming,100m freestyle,W,"HOGSHEAD, Nancy Lynn",Women,USA,0,0,1
Boxing,Boxing,75 - 81kg (light-heavyweight),M,"BARRY, Kevin",Men,NZL,0,1,0
Hockey,Hockey,hockey,W,"MILLER, Anita Corl",Women,USA,1,0,0
Athletics,Athletics,800m,W,"LOVIN, Fita",Women,ROU,1,0,0
Athletics,Athletics,javelin throw,M,"ELDEBRINK, Kenth",Men,SWE,1,0,0
Basketball,Basketball,basketball,W,"QIU, Chen",Women,CHN,1,0,0
Aquatics,Diving,10m platform,M,"KIMBALL, Bruce D.",Men,USA,0,1,0
Volleyball,Volleyball,volleyball,W,"SU, Huijuan",Women,CHN,0,0,1
Football,Football,football,M,"GIL, Antonio Jose",Men,BRA,0,1,0
Athletics,Athletics,10000m,M,"MCLEOD, Michael",Men,GBR,0,1,0
Judo,Judo,open category,M,"CIOC, Mihai",Men,ROU,1,0,0
Fencing,Fencing,épée team,M,"BORRMANN, Elmar",Men,FRG,0,0,1
Shooting,Shooting,50m rifle 3 positions (3x40 shots),M,"COOPER, Malcolm Douglas",Men,GBR,0,0,1
Aquatics,Diving,10m platform,M,"LI, Kong-Zheng",Men,CHN,1,0,0
Rowing,Rowing,quadruple sculls without coxswain (4x),M,"HUGHES, Michael",Men,CAN,1,0,0
Hockey,Hockey,hockey,M,"MOIN UD DIN, Ghulam",Men,PAK,0,0,1
Athletics,Athletics,100m,W,"BROWN, Alice Regina",Women,USA,0,1,0
Judo,Judo,78 - 86kg (middleweight),M,"CARMONA, Walter",Men,BRA,1,0,0
Aquatics,Swimming,4x200m freestyle relay,M,"EASTER, Paul Robert",Men,GBR,1,0,0
Handball,Handball,handball,W,"SON, Mi-Ha",Women,KOR,0,1,0
Aquatics,Swimming,200m breaststroke,M,"DAGON, Etienne",Men,SUI,1,0,0
Hockey,Hockey,hockey,W,"SCHLEY-SCHÖWE, Gabriele",Women,FRG,0,1,0
Cycling,Cycling Track,Sprint indivual,M,"VAILS, Nelson Beasley",Men,USA,0,1,0
Athletics,Athletics,shot put,W,"MULHALL-MARTIN, Gael",Women,AUS,1,0,0
Boxing,Boxing,81 - 91kg (heavyweight),M,"VANDERLIJDE, Arnold",Men,NED,1,0,0
Gymnastics,Artistic G.,team competition,M,"VIDMAR, Peter Glen",Men,USA,0,0,1
Aquatics,Water polo,water polo,M,"ROJE, Zoran",Men,YUG,0,0,1
Basketball,Basketball,basketball,M,"DE LA CRUZ FERMANELLI, Juan Domingo",Men,ESP,0,1,0
Gymnastics,Artistic G.,floor exercises,W,"SZABO, Ecaterina",Women,ROU,0,0,1
Canoe / Kayak,Canoe / Kayak F,C-1 1000m (canoe single),M,"JAKOBSEN, Henning Lynge",Men,DEN,1,0,0
Athletics,Athletics,400m hurdles,W,"BROWN, Judith Lynne",Women,USA,0,1,0
Aquatics,Swimming,100m freestyle,W,"STEINSEIFER, Carolyn",Women,USA,0,0,1
Hockey,Hockey,hockey,M,"SHERWANI, Saleem",Men,PAK,0,0,1
Fencing,Fencing,foil team,M,"OMNES, Philippe",Men,FRA,1,0,0
Fencing,Fencing,épée team,M,"NICKEL, Rafael",Men,FRG,0,0,1
Handball,Handball,handball,M,"BASIC, Mirko",Men,YUG,0,0,1
Basketball,Basketball,basketball,W,"MOON, Kyung-Ja",Women,KOR,0,1,0
Gymnastics,Artistic G.,rings,M,"GAYLORD, Mitchell Jay",Men,USA,1,0,0
Shooting,Shooting,skeet (125 targets),X,"SCRIBANI ROSSI, Luca",Men,ITA,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,"BARRE, Alexandra",Women,CAN,0,1,0
Volleyball,Volleyball,volleyball,W,"ISHIDA, Kyoko",Women,JPN,1,0,0
Basketball,Basketball,basketball,M,"LLORENTE GENTO, Jose Luis",Men,ESP,0,1,0
Aquatics,Swimming,400m freestyle,W,"HARDCASTLE, Sarah",Women,GBR,0,1,0
Rowing,Rowing,four-oared shell with coxswain (4-),M,"LAWTON, Kevin",Men,NZL,1,0,0
Rowing,Rowing,four-oared shell with coxswain (4-),W,"APOSTOL, Chira",Women,ROU,0,0,1
Hockey,Hockey,hockey,M,"DAR, Tauqeer",Men,PAK,0,0,1
Aquatics,Swimming,4x100m medley relay,W,"OTTENBRITE, Anne",Women,CAN,1,0,0
Fencing,Fencing,foil team,W,"BISCHOFF, Sabine",Women,FRG,0,0,1
Handball,Handball,handball,M,"VOINEA, Maricel",Men,ROU,1,0,0
Aquatics,Swimming,4x100m medley relay,W,"ABDO, Reema",Women,CAN,1,0,0
Rowing,Rowing,eight with coxswain (8+),W,"SAUCA, Lucia",Women,ROU,0,1,0
Wrestling,Wrestling Free.,48 - 52kg (flyweight),M,"TAKADA, Yuji",Men,JPN,1,0,0
Aquatics,Swimming,4x100m medley relay,W,"HASSE, Ute",Women,FRG,0,1,0
Fencing,Fencing,sabre team,M,"CHICULITA, Alexandru",Men,ROU,1,0,0
Aquatics,Swimming,4x100m freestyle relay,M,"HEATH, Michael Steward",Men,USA,0,0,1
Modern Pentathlon,Modern Pentath.,Individual competition,M,"RASMUSON, Svante",Men,SWE,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"BOUCHERIT, Pascal",Men,FRA,1,0,0
Handball,Handball,handball,M,"MEFFLE, Arnulf",Men,FRG,0,1,0
Football,Football,football,M,"BRISSON, Francois",Men,FRA,0,0,1
Basketball,Basketball,basketball,W,"DONOVAN, Anne Theresa",Women,USA,0,0,1
Fencing,Fencing,épée individual,M,"VÄGGÖ, Björne",Men,SWE,0,1,0
Athletics,Athletics,marathon,W,"MOTA, Rosa",Women,POR,1,0,0
Fencing,Fencing,foil team,W,"KIRCHEIS-WESSEL, Ute",Women,FRG,0,0,1
Gymnastics,Artistic G.,team competition,M,"YAMAWAKI, Kyoji",Men,JPN,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"MAC DONALD, Christopher Paul",Men,NZL,0,0,1
Basketball,Basketball,basketball,M,"VUKICEVIC, Branko",Men,YUG,1,0,0
Fencing,Fencing,sabre individual,M,"MARIN, Marco",Men,ITA,0,1,0
Athletics,Athletics,marathon,M,"LOPES, Carlos",Men,POR,0,0,1
Volleyball,Volleyball,volleyball,W,"OTANI, Sachiko",Women,JPN,1,0,0
Sailing,Sailing,Tornado - Multihull,X,"ANDERSON, John Scott",Men,AUS,1,0,0
Rowing,Rowing,double sculls (2x),W,"LAUMANN, Silken Suzette",Women,CAN,1,0,0
Basketball,Basketball,basketball,M,"MARGALL TAULER, Jose Maria",Men,ESP,0,1,0
Football,Football,football,M,"ROHR, Jean Philippe",Men,FRA,0,0,1
Boxing,Boxing,+ 91kg (super heavyweight),M,"BIGGS, Tyrell",Men,USA,0,0,1
Rowing,Rowing,eight with coxswain (8+),W,"NORELIUS, Kristine Lee",Women,USA,0,0,1
Handball,Handball,handball,W,"ZHANG, Pei-Jun",Women,CHN,1,0,0
Athletics,Athletics,pole vault,M,"VIGNERON, Thierry",Men,FRA,1,0,0
Aquatics,Swimming,200m individual medley,W,"HOGSHEAD, Nancy Lynn",Women,USA,0,1,0
Aquatics,Swimming,100m backstroke,M,"WEST, Michael",Men,CAN,1,0,0
Aquatics,Swimming,4x100m freestyle relay,W,"VAN BENTUM, Conny",Women,NED,0,1,0
Volleyball,Volleyball,volleyball,M,"DAL ZOTTO, Renan",Men,BRA,0,1,0
Sailing,Sailing,single-handed dinghy (Finn),M,"NEILSON, Terence",Men,CAN,1,0,0
Handball,Handball,handball,M,"SPRINGEL, Thomas",Men,FRG,0,1,0
Rowing,Rowing,four-oared shell with coxswain (4-),W,"GREY-GARDNER, Robyn",Women,AUS,1,0,0
Athletics,Athletics,shot put,W,"LOSCH, Claudia",Women,FRG,0,0,1
Wrestling,Wrestling Gre-R,+ 100kg (super heavyweight),M,"MEMISEVIC, Refik",Men,YUG,0,1,0
Fencing,Fencing,épée team,M,"PUSCH, Alexander",Men,FRG,0,0,1
Handball,Handball,handball,W,"ZHU, Jue-Feng",Women,CHN,1,0,0
Judo,Judo,- 60 kg,M,"KIM, Jae-Yup",Men,KOR,0,1,0
Hockey,Hockey,hockey,M,"KRULL, Reinhard",Men,FRG,0,1,0
Athletics,Athletics,4x400m relay,W,"RICHARDSON-BRISCOE, Jillian",Women,CAN,0,1,0
Aquatics,Swimming,4x200m freestyle relay,M,"HEATH, Michael Steward",Men,USA,0,0,1
Shooting,Shooting,50m rifle prone (60 shots),M,"BURY, Michel",Men,FRA,0,1,0
Basketball,Basketball,basketball,W,"KIM, Eun-Sook",Women,KOR,0,1,0
Athletics,Athletics,100m hurdles,W,"FITZGERALD-BROWN, Benita",Women,USA,0,0,1
Aquatics,Swimming,4x100m freestyle relay,M,"BROOKS, Neil",Men,AUS,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"BRAMWELL, Grant",Men,NZL,0,0,1
Wrestling,Wrestling Gre-R,68 - 74kg (welterweight),M,"TALLROTH, Roger",Men,SWE,0,1,0
Aquatics,Swimming,100m breaststroke,M,"DAVIS, Victor",Men,CAN,0,1,0
Aquatics,Swimming,4x100m freestyle relay,W,"SEICK, Karin",Women,FRG,1,0,0
Athletics,Athletics,1500m,M,"CRAM, Stephen",Men,GBR,0,1,0
Equestrian,Dressage,individual,X,"KLIMKE, Reiner",Men,FRG,0,0,1
Rowing,Rowing,double sculls (2x),W,"POPESCU, Marioara",Women,ROU,0,0,1
Weightlifting,Weightlifting,"90 - 100kg, total (first-heavyweight)",M,"MILSER, Rolf",Men,FRG,0,0,1
Athletics,Athletics,400m,M,"TIACOH, Gabriel",Men,CIV,0,1,0
Fencing,Fencing,foil team,W,"MOLDOVAN-ZSAK, Marcela",Women,ROU,0,1,0
Volleyball,Volleyball,volleyball,M,"ROCHA REZENDE, Bernardo Rocha",Men,BRA,0,1,0
Shooting,Shooting,10m air rifle (40 shots),W,"GUFLER, Edith",Women,ITA,0,1,0
Handball,Handball,handball,W,"GAO, Xiu-Min",Women,CHN,1,0,0
Cycling,Cycling Track,Individual Pursuit,M,"NITZ, Leonard Harvey",Men,USA,1,0,0
Football,Football,football,M,"ELSNER, Marko",Men,YUG,1,0,0
Aquatics,Water polo,water polo,M,"OTTO, Frank",Men,FRG,1,0,0
Wrestling,Wrestling Gre-R,68 - 74kg (welterweight),M,"SALOMAKI, Jouko",Men,FIN,0,0,1
Rowing,Rowing,quadruple sculls without coxswain (4x),M,"LOVRICH, Anthony",Men,AUS,0,1,0
Athletics,Athletics,discus throw,W,"TACU-CRAICIUNESCU, Florenta",Women,ROU,1,0,0
Aquatics,Swimming,4x100m medley relay,M,"CAREY, Richard John",Men,USA,0,0,1
Athletics,Athletics,100m,W,"OTTEY-PAGE, Merlene",Women,JAM,1,0,0
Athletics,Athletics,200m,W,"OTTEY-PAGE, Merlene",Women,JAM,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,"BOCCARA, Philippe",Men,FRA,1,0,0
Fencing,Fencing,sabre team,M,"DELRIEU, Philippe",Men,FRA,0,1,0
Handball,Handball,handball,M,"DURAU, Cornel",Men,ROU,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-1 500m (kayak single),W,"SCHUTTPELZ, Barbara",Women,FRG,0,1,0
Fencing,Fencing,foil team,M,"GROC, Patrick",Men,FRA,1,0,0
Athletics,Athletics,100m hurdles,W,"TURNER, Kim",Women,USA,1,0,0
Volleyball,Volleyball,volleyball,W,"HYMAN, Flora Jean",Women,USA,0,1,0
Rowing,Rowing,eight with coxswain (8+),W,"DIACONESCU, Camelia",Women,ROU,0,1,0
Aquatics,Water polo,water polo,M,"HUBER, Thomas",Men,FRG,1,0,0
Aquatics,Diving,3m springboard,M,"TAN, Liang-De",Men,CHN,0,1,0
Athletics,Athletics,4x100m relay,W,"BOLDEN, Jeanette",Women,USA,0,0,1
Gymnastics,Artistic G.,balance beam,W,"PAUCA, Simona",Women,ROU,0,0,1
Athletics,Athletics,4x100m relay,W,"CHEESEBOROUGH, Chandra Danette",Women,USA,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-4 500m (kayak four),W,"KARLSSON, Eva",Women,SWE,0,1,0
Boxing,Boxing,63.5 - 67kg (welterweight),M,"BRELAND, Mark Anthony",Men,USA,0,0,1
Hockey,Hockey,hockey,W,"HAGEN, Birgit",Women,FRG,0,1,0
Gymnastics,Artistic G.,team competition,W,"CHEN, Youg-Yan",Women,CHN,1,0,0
Handball,Handball,handball,M,"RAUIN, Dirk",Men,FRG,0,1,0
Fencing,Fencing,foil team,M,"CERIONI, Stefano",Men,ITA,0,0,1
Athletics,Athletics,4x100m relay,W,"TAYLOR-ISSAJENKO, Angella",Women,CAN,0,1,0
Cycling,Cycling Track,Team Pursuit (4000m),M,"ALBER, Reinhard",Men,FRG,1,0,0
Handball,Handball,handball,W,"LEE, Young-Ja",Women,KOR,0,1,0
Basketball,Basketball,basketball,M,"CORBALAN ALFOCER, Juan Antonio",Men,ESP,0,1,0
Athletics,Athletics,110m hurdles,M,"FOSTER, Gregory",Men,USA,0,1,0
Athletics,Athletics,4x100m relay,M,"HINDS, Sterling",Men,CAN,1,0,0
Rowing,Rowing,four without coxswain (4-),M,"STEKL, Philip William",Men,USA,0,1,0
Judo,Judo,+ 95kg (heavyweight),M,"PARISI, Angelo",Men,FRA,0,1,0
Canoe / Kayak,Canoe / Kayak F,K-1 500m (kayak single),M,"FERGUSON, Ian Gordon",Men,NZL,0,0,1
Hockey,Hockey,hockey,M,"BHAURA, Kulbir Singh",Men,GBR,1,0,0
Volleyball,Volleyball,volleyball,M,"SALMONS, Steven Edward",Men,USA,0,0,1
Athletics,Athletics,4x400m relay,M,"MCKAY, Antonio Ricardo",Men,USA,0,0,1
Rowing,Rowing,eight with coxswain (8+),M,"NEUFELD, Kevin",Men,CAN,0,0,1
Hockey,Hockey,hockey,W,"BOEKHORST, Josephine",Women,NED,0,0,1
Rowing,Rowing,quadruple sculls with coxswain (4x),W,"SORENSEN, Jette Hejli",Women,DEN,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),W,"HOLLOWAY, Susan",Women,CAN,0,1,0
Sailing,Sailing,two-person keelboat open (Star),X,"GRIESE, Joachim",Men,FRG,0,1,0
Boxing,Boxing,81 - 91kg (heavyweight),M,"TILLMAN, Henry",Men,USA,0,0,1
